time,slope,tempratue,padel rotation,throttle,speed,current
17,0.17,34.18,0,888,24.57,0.92
18,-1.11,34.04,0,874,24.6,0.84
19,-0.96,34.13,0,875,24.57,0.9
20,-0.28,34.13,0,880,24.91,0.87
21,-0.31,34.04,0,876,24.88,0.92
22,-0.54,34.13,0,883,25.21,1.29
23,-0.9,34.04,0,871,25.5,0.92
24,-0.87,34.04,0,875,25.52,0.9
25,-0.57,34.08,0,850,25.83,0.9
26,-0.51,34.04,0,842,25.5,0.92
27,-0.72,33.99,0,842,25.83,0.9
28,-1.28,33.99,0,853,25.52,8.63
29,-1.13,33.99,0,870,25.52,0.92
30,-1.32,33.94,0,866,25.5,0.95
31,-1.7,33.94,0,893,25.83,0.98
32,-0.98,34.04,0,903,25.5,0.98
33,-0.79,34.04,0,891,25.52,8.71
34,-0.89,33.85,0,873,25.5,0.92
35,0.25,33.85,0,899,25.83,1.13
36,-0.91,33.89,0,899,24.88,8.74
37,-1.41,33.94,0,904,24.91,8.74
38,-1.75,33.89,0,904,25.19,8.74
39,-1.18,33.85,0,902,25.21,8.74
9,-5.85,33.66,0,237,19.37,8.84
10,-5.56,33.71,0,240,16.59,8.92
11,-4.91,33.66,0,244,15.07,8.84
12,-5.16,33.61,0,256,12.3,8.84
13,-6.13,33.66,0,377,8.92,8.84
14,-7.47,33.61,0,962,11.68,8.84
9,-6.54,34.55,0,248,0.62,9.24
96,6.67,24.2,0,329,0.31,0.24
9,-6.32,26.84,1,1023,20.27,1.61
9,-6.52,28.48,0,856,20.6,0.37
10,-9.61,28.39,0,861,21.83,0.42
10,-0.43,31.12,1,845,2.15,8.95
11,1,31.12,2,846,17.2,8.74
12,1.54,31.21,3,891,20.6,0.95
14,7.17,32.2,0,821,52.53,0.21
12,11.27,32.77,2,230,16.59,0.34
13,10.93,32.62,3,231,17.53,0.48
14,10.34,32.67,3,231,18.43,0.26
16,9.75,32.58,5,230,20.58,0.79
17,9.46,32.58,6,226,19.99,0.69
18,8.81,32.58,6,226,17.83,0.58
19,8.06,32.53,7,227,18.14,0.53
23,5.15,32.53,11,233,19.99,0.69
24,4.51,32.48,11,230,16.28,0.34
25,4.06,32.48,11,230,15.68,0.37
26,3.75,32.58,11,229,18.76,0.34
27,3.85,32.44,12,235,20.27,1
29,6.73,32.39,14,552,19.66,0.29
30,7.59,32.39,15,730,43.66,0.37
33,5.03,32.44,15,790,28.26,0.24
34,4.05,32.44,15,784,30.75,0.84
9,-1.1,32.39,0,750,38.13,0.24
10,40.01,32.34,0,787,28.9,0.29
12,34.22,32.48,0,771,32.87,0.29
14,29.73,32.34,0,760,30.72,0.34
16,26.43,32.39,0,810,42.43,0.26
9,-7.08,32.86,0,871,9.53,0.71
10,-6.41,32.91,0,972,15.97,0.79
11,6.44,33,0,1001,13.24,0.74
12,9.31,32.95,0,1017,12.9,0.21
13,9.1,33,0,996,42.13,1.48
16,4.8,33.05,1,1006,12.59,1
20,7.52,33.14,1,795,9.52,8.68
21,6.93,33.14,1,224,4.92,8.82
24,4.91,33.14,1,852,15.37,8.95
25,3.97,33.09,1,868,1.54,9.05
26,4.11,33.09,1,863,4.3,8.55
29,2.2,33,1,224,2.77,8.39
30,0.55,32.95,1,224,1.54,8.58
31,0.34,33.09,1,223,2.15,8.58
32,1.6,32.91,1,222,5.23,8.58
59,-5.17,33.28,3,865,13.53,8.58
60,-4.61,33.28,3,868,27.37,8.55
61,-3.66,33.09,3,994,28.88,8.58
62,-2.5,33.24,3,998,27.06,8.58
63,-1.5,33.05,3,985,26.42,8.58
64,-1.32,33.28,3,999,24.91,8.47
65,-1.08,33.14,3,1000,23.65,8.58
66,-1.03,33.24,3,1002,23.06,8.5
67,-1.19,33.19,4,1001,23.96,8.5
68,-1.12,33.24,6,1000,22.45,8.45
69,-1.18,33.14,7,999,23.65,8.53
70,-1.21,33.19,8,1004,22.45,1.37
71,-1.23,33.14,9,1000,24.88,9
72,-0.99,33.19,10,1000,31.7,8.47
